title,region,publisher,productId,upc,releaseDate,rating
Boku wa Koukuu Kanseikan,JP,Tamsoft,AGB-ABCJ-JPN,4523820001010,03/21/01,
Bomberman Jetters: Densetsu no Bomberman,JP,Hudson,AGB-AJZJ-JPN,4988607005726,10/24/02,
Bomberman Jetters: Game Collection,JP,Hudson,AGB-BOMJ-JPN,4988607005764,10/16/03,A
Bomberman Max 2: Blue Advance,US,Majesco,AGB-AMHE-USA,096427012733,05/30/02,E
Bomberman Max 2: Red Advance,US,Majesco,AGB-AMYE-USA,096427012726,05/30/02,E
Bomberman Tournament,US,Activision,AGB-ABSE-USA,047875802490,2001,E
Bonx,US,Ubisoft,,,Canceled,
Bookworm,US,Majesco,AGB-BKWE-USA,096427013280,02/25/03,E
Bouken Yuuki Pluster World: Densetsu no Plust Gate,JP,Takara,AGB-APJJ-JPN,4904880140077,04/24/03,
Bouken Yuuki Pluster World: Densetsu no Pluster Gate EX,JP,Takara,AGB-BPDJ-JPN,4904880140589,12/04/03,
Bouken Yuuki Pluster World: Pluston GP (Starter Set),JP,Takara,AGB-A2PJ-JPN,4904880140060,04/24/03,
Bouken-Ou Beet: Busters Road,JP,Bandai,AGB-BOVJ-JPN,4543112240606,01/20/05,A
Boukyaku no Senritsu: The Melody of Oblivion,JP,Bandai,AGB-BBSJ-JPN,4543112277114,11/25/04,A
Boulder Dash EX,US,Kemco,AGB-ABDE-USA,741648008019,09/16/02,E
Boxing Fever,US,Majesco,AGB-ABOE-USA,096427012610,10/11/01,E
Bratz,US,Ubisoft,AGB-A2RE-USA,008888140337,03/12/03,E
Bratz: Babyz,US,THQ,AGB-BBZE-USA,785138322421,2006,E
Bratz: Forever Diamondz,US,THQ,AGB-BXFE-USA,785138322414,09/18/06,E
Bratz: Rock Angelz,US,THQ,AGB-BRRE-USA,785138321899,10/04/05,E
Bratz: The Movie,US,THQ,AGB-BBUE-USA,785138322551,09/24/07,E
Breath of Fire,US,Capcom,AGB-ABFE-USA,013388280049,12/13/01,E
Breath of Fire II,US,Capcom,AGB-AB2E-USA,013388280087,04/16/02,E
Brick Em' All,EU,505 Game Street,AGB-AZ9P-EUR,,Canceled,3+
Britney's Dance Beat,US,THQ,AGB-ABYE-USA,785138320977,03/25/02,E
Broken Circle,US,Piko Interactive LLC,SKU 00032,794504120066,11/06/15,
Broken Sword: The Shadow of the Templars,US,Bam Entertainment,AGB-ABJE-USA,682384320105,03/17/02,T
Bruce Lee: Return of the Legend,US,Universal Interactive,AGB-ALEE-USA,020626717014,03/28/03,E
Bubble Bobble: Old & New,US,Empire Interactive,AGB-AONE-USA,802068100278,2003,E
Buffy the Vampire Slayer: Wrath of the Darkhul King,US,THQ,AGB-AVYE-USA,785138321349,06/24/03,T
Butt Ugly Martians: B.K.M. Battles,US,VU Games,AGB-ABWE-USA,020626715171,10/01/02,E
CIMA: The Enemy,US,Natsume,AGB-BCME-USA,719593020288,11/17/03,E
CT Special Forces,US,Hip Games,AGB-AC7E-USA,677990102658,01/04/04,T
CT Special Forces 2: Back in the Trenches,US,Hip Games,AGB-A9CE-USA,677990102719,06/29/04,T
CT Special Forces 3: Navy Ops,US,Hip Games,,677990104614,Canceled,T
Cabbage Patch Kids: The Patch Puppy Rescue,US,D3Publisher,AGB-BCGE-USA,879278310056,04/11/06,E
Cabela's Big Game Hunter,US,Activision,AGB-A8HE-USA,047875750074,12/11/02,T
Cabela's Big Game Hunter 2005 Adventures,US,Activision Value,AGB-BG5E-USA,047875750678,11/10/04,T
Caesars Palace Advance: Millenium Gold Edition,US,Majesco,AGB-ACPE-USA,096427012542,09/19/01,E
Calcio Bit,JP,Nintendo,AGB-BIXJ-JPN,4902370513646,05/18/06,A
Camp Lazlo: Leaky Lake Games,US,Crave,AGB-BLCE-USA,650008899290,11/06/06,E
CandyLand / Chutes & Ladders / Original Memory Game,US,Destination Software,AGB-BC4E-USA,802068100674,11/07/05,E
Capcom Classics Mini Mix,US,Capcom,AGB-BC6E-USA,013388280308,09/19/06,T
Captain Tsubasa: Eikou no Kiseki,JP,Konami,AGB-AKYJ-JPN,4988602083811,02/21/02,
Car Battler Joe,US,Natsume,AGB-ACBE-USA,719593020219,10/21/02,E
Card Captor Sakura: Sakura Card de Mini-Game,JP,TDK Core,AGB-BK3J-JPN,4988026814404,12/12/03,A
Card Captor Sakura: Sakura Card-hen - Sakura Card to Tomodachi,JP,MTO,AGB-BKSJ-JPN,4536478000595,04/23/04,
Card Party,JP,Media Kite,AGB-A8CJ-JPN,4516647003909,10/25/02,
Care Bears: Care Quest,US,The Game Factory,AGB-BEAE-USA,855433001021,11/15/05,EC
Carnival Carnival,JP,Nintendo,,,Canceled,
Carrera Power Slide,EU,Stadlbauer,AGB-AEDP-EUR,,2003,
Cars,US,THQ,AGB-BCAE-USA,785138322278,06/06/06,E
Cars Mater-National Championship,US,THQ,AGB-BCPE-USA,785138322568,11/12/07,E
Cartoon Network Block Party,US,Majesco,AGB-AC9E-USA,096427012979,08/05/04,E
Cartoon Network Block Party / Cartoon Network Speedway,US,Majesco,AGB-BW2E-USA,096427014379,April 2005,E
Cartoon Network Bundle,US,Majesco,AGB-MCTE-USA AGB-ANRE-USA,096427014058,11/05/04,E
Cartoon Network Speedway,US,Majesco,AGB-ANRE-USA,096427012962,11/09/03,E
Casper,US,Microids,AGB-ACSE-USA,831585000211,2002,E
Castlevania Double Pack,US,Konami,AGB-BXKE-USA,083717500711,01/11/06,T
