title,region,publisher,productId,upc,releaseDate,rating
Break Time: The National Pool Tour,US,"FCI, Inc.",NES-BZ,,January 1993,
BreakThru,US,Data East,NES-BE,013252002081,November 1987,
Brush Roller,AS,RCM,,Other,1990,
Bubble Bath Babes,US,Panesian,,,1991,
Bubble Bobble,US,Taito Corporation,NES-B2,020588010062,November 1988,E
Bubble Bobble Part 2,US,Taito Corporation,NES-BQ,020588010703,August 1993,
Bucky O'Hare,US,Konami,NES-56,083717110293,January 1992,
Bump 'n' Jump,US,Vic Tokai,NES-BP,,December 1988,
Burai Fighter,US,Taxan,NES-UF-USA,,March 1990,
BurgerTime,US,Data East,NES-BR,,May 1987,
Business Wars,JP,Hect,HCT-78 /013,4961508921173,01/24/92,
Cabal,US,Milton Bradley,NES-C7-USA,032244040894,June 1990,
Cadillac,JP,Hect,HCT-C5,4961508901076,02/02/90,
Caesars Palace,US,Virgin Games,NES-C9,,December 1992,
California Games,US,Milton Bradley,NES-CG,,June 1989,
Capcom's Gold Medal Challenge '92,US,Capcom,NES-GM,,August 1992,
Captain America and the Avengers,US,Data East,NES-6E,,December 1991,
Captain Comic: The Adventure,US,Color Dreams,,096962810016,1989,
Captain Ed,JP,CBS Sony Group,CBS-ED,4988009000596,08/25/89,
Captain Planet and the Planeteers,US,Mindscape,NES-5C,,September 1991,
Captain Silver,JP,Tokuma Shoten,GTS-CK,4988008001198,12/16/88,
Captain Skyhawk,US,Milton Bradley,NES-YW,,June 1990,
Captain Tsubasa II: Super Striker,JP,Tecmo,TCF-T6,4960677250114,07/20/90,
Casino Derby & Super Bingo,JP,Yonezawa PR21,YZW-KD,4979750330087,03/19/93,
Casino Kid,US,Sofel,NES-KP,,October 1989,
Casino Kid II,US,Sofel,NES-CK,,April 1993,
Castelian,US,Triffix,NES-4C,,June 1991,
Castle Quest,JP,Hudson,HFC-V4,4988607000387,05/18/90,
Castle of Deceit,US,"Bunch Games, Inc.",BNH-C-04,016315730044,1990,
Castle of Dragon,US,Seta Corporation,NES-C4,,June 1990,
Castlequest,US,Nexoft,NES-05,,September 1989,
Castlevania,US,Konami,NES-CV-USA,083717110040,May 1987,
Castlevania II: Simon's Quest,US,Konami,NES-QU-USA,083717110149,December 1988,
Castlevania III: Dracula's Curse,US,Konami,NES-VN-USA,083717110217,September 1990,
Caveman Games,US,Data East,NES-UQ,013252002173,October 1990,
Chack'n Pop,JP,Taito Corporation,TF-4500,4988113006774,05/24/85,
Challenge of the Dragon,US,Color Dreams,CN-81014,096962810146,1990,
Challenge of the Dragon,AS,Sachen,TC-011,,1990,
Challenger,JP,Hudson,HFC-CH,4988107147513,10/15/85,
Championship Bowling,US,Romstar,NES-1F,,December 1989,
Championship Lode Runner,JP,Hudson,HFC-CR,4988142166609,04/17/85,
Championship Pool,US,Mindscape,NES-P3,,October 1993,
Championship Rally,EU,HAL Labs,,,1991,
Chaos World,JP,Natsume,NAT-1W,4988635100202,10/25/91,
Chase H.Q.,JP,Taito Corporation,DTF-H9,4988611890042,12/08/89,
Cheetahmen II: The Lost Levels,US,Active Enterprises LLC,n/a,741360999992,December 2012,
