title,region,publisher,productId,upc,releaseDate,rating
Army Men World War: Team Assault,US,3DO,SLUS-01435,790561524113,11/28/01,T
Army Men: Air Attack,US,3DO,SLUS-00913,790561504450,11/02/99,T
Army Men: Air Attack 2,US,3DO,SLUS-01132,790561508618,09/26/00,T
Army Men: Green Rogue,US,3DO,SLUS-01330,790561519119,04/13/01,T
Army Men: Sarge's Heroes,US,3DO,SLUS-00914,790561502654,2000,T
Army Men: Sarge's Heroes 2,US,3DO,SLUS-01202,790561508915,11/21/00,T
Army Men: World War,US,3DO,SLUS-01079,790561505358,02/29/00,T
"Army Men: World War - Land, Sea, Air",US,3DO,SLUS-01203,790561512110,09/20/00,T
Art Camion Geijutsuden,JP,TYO,SLPS-02405,4988927030088,12/16/99,
Art Camion Sugorokuden,US,SCEA,NPUF-30033,PSOne Classics,12/04/12,
Arthur to Astaroth no Nazo-Makai-Mura: Incredible Toons,JP,Capcom,SLPS-00363,4976219153614,08/30/96,
Arthur! Ready to Race,US,The Learning Company,SLUS-01090,772040803223,11/01/00,E
Arthur's Quiz Show,US,The Learning Company,,,Canceled,
Arubarea no Otome ~Uruwashi no Seishikitachi~,JP,NCS,SLPS-01578,4988616010063,10/08/98,
Ason de Chinou Up,JP,Gakken,SLPS-03542,4905426409184,12/11/03,
Asonde Aiueo,JP,Gakushuu Kenkyuusha,SLPS-03540,4905426409160,05/29/03,
Asonde Kazu Suuji,JP,Gakushuu Kenkyuusha,SLPS-03541,4905426409177,05/29/03,
Assault Rigs (Long Box),US,Psygnosis,SCUS-94405,711719440529,02/01/96,K-A
Assault Soldier (SuperLite 1500 Series),JP,Success,,,Canceled,
Assault Suits Valken 2,JP,NCS,SLPS-00854,4988616010025,07/29/99,
Assault: Retribution,US,Midway,SLUS-00713,031719268078,10/31/98,T
Asterix,EU,Infogrames,SLES-01748,3546430003282,March 1999,
Asterix & Obelix Take on Caesar,EU,Cryo Interactive,SLES-02092,3554540510019,06/01/00,
Asterix: Mega Madness,EU,Infogrames,SLES-03324,3546430014332,06/29/01,
Asteroids,US,Activision,SLUS-00773,047875103740,10/31/98,E
Astronoka,JP,Enix Corporation,SLPM-86088~9,4988601003049,08/27/98,
Asuka 120% Excellent: Burning Fest. Excellent,JP,SCEI,SLPS-00849,4988709100046,05/09/97,
Asuka 120% Final: Burning Fest. Final,JP,Family Soft,SLPS-02074,4988709100084,05/27/99,
Asuka 120% Special: Burning Fest Special,JP,Family Soft,SLPS-00231,4988709100022,03/29/96,
Asuncia: Matsue no Jubaku,JP,Xing Entertainment,SLPS-01097,4948536190351,11/27/97,
Atari Anniversary Edition Redux,US,Infogrames,SLUS-01427,742725226708,2001,E
Athena no Kateiban: Family Game,JP,Athena,SLPS-00263,4988679200029,03/22/96,
Athena ~Awakening from the ordinary life~,JP,SNK,SLPM-86185~7,4964808300181,03/11/99,
Atlantis: The Lost Continent,EU,Phoenix Games,SLES-04066,4260008311430,2003,3+
Atlantis: The Lost Tales,EU,Cryo Interactive,SLES-01291,3554540430249,October 1998,
Attack of the Killer Demos,US,SCEA,,Other,1999,
Attack of the Saucerman!,EU,Psygnosis,SLES-01718,711719796626,July 1999,
AubirdForce,JP,Bandai,SLPS-00546,4902425548609,10/25/96,
AubirdForce After,JP,Bandai,SLPS-01606,4902425708201,10/22/98,
Aura Battler Dunbine,JP,Bandai,SLPS-02390,4902425726205,03/04/00,
Austin Powers Pinball,US,Gotham Games,SLUS-01456,710425231018,10/25/02,T
Australian Summer Special Demo CD,AU,SCEE,SCED-01570,Other,1998,
Auto Destruct,US,Electronic Arts,SLUS-00522,014633077339,02/28/98,T
Autobahn Raser II,EU,Davilex,SLES-02341,8712823013502,1998,
Autumn/Christmas Releases,EU,SCEE,SCED-00273,Other,1996,
Ayakashi Ninden Kunoichiban,JP,Shoeisha,SLPS-00946~7,4997153900195,09/25/97,
Ayrton Senna Kart Duel,EU,SunSoft,SLES-00493,4907940130148,December 1996,
Ayrton Senna Kart Duel 2,EU,SunSoft,SLES-01024,4907940130209,January 1997,
Ayrton Senna Kart Duel Special,JP,Gaps,SLPS-01659,4996279098007,04/28/99,
Azito,JP,Astec 21,SLPS-00683,4512861100035,02/28/97,
Azito 2,JP,Banpresto,SLPS-01526,4983164734324,10/15/98,
Azito 3,JP,Banpresto,SLPS-02496,4983164734539,02/17/00,
Aztec: The Curse in the Heart of the City of Gold,EU,Cryo Interactive,SLES-03053,,10/27/00,
Azumanga Donjara Daiou,JP,Bandai,SLPS-03424,4543112077431,04/18/02,
Azure Dreams,US,Konami,SLUS-00614,083717170297,06/30/98,E
B Senjou no Alice: Alice on Borderlines,JP,Kodansha,SLPS-01003 - SLPS-01005,4938838097076,09/18/97,
B.L.U.E.: Legend of Water,JP,Hudson,SLPS-01459,4988607050122,07/09/98,
BRAHMA Force: The Assault on Beltlogger 9,US,Jaleco Entertainment,SLUS-00444,032264500064,03/31/97,E
BURninG aCE,EU,Midas Interactive Entertainment,,,Canceled,
Baby Felix Tennis,EU,LSP,SLES-03991,3760049395877,01/01/02,
Baby Universe,EU,SCEE,SCES-00982,711719732228,10/09/98,
"Backgainer: Yomigaeru Yuusha Tachi - Hishou-hen ""Uragiri no Senjou""",JP,Ving,SLPS-01217~8,4988736060030,01/29/98,
"Backgainer: Yomigaeru Yuusha Tachi - Kakusei-hen ""Gainer Tensei""",JP,Ving,SLPS-01446~8,4988736060047,06/25/98,
Backgammon 2000,JP,Unbalance,SLPS-02729,4539820600108,05/18/00,
Backstreet Billiards,US,ASCII Entertainment,SLUS-00659,093992086602,11/30/98,E
Backyard Football,US,Infogrames,SLUS-01095,,Canceled,E
Backyard Soccer,US,Infogrames,SLUS-01405,742725226715,09/28/01,E
Bakudan Kozou Scoop the Kid,JP,Tears,,,Canceled,
Bakumatsu Rouman: Gekka no Kenshi,JP,SNK,SLPM-86118,4964808300198,02/25/99,
Bakuretsu Hunter: Mahjong Special,JP,Banpresto,SLPS-00541,4983164734096,10/25/96,
Bakuretsu Hunter: Sorezore no Omoi...Nowaan Chatte,JP,Banpresto,SLPS-00718,4983164734164,04/11/97,
Bakushou!! All Yoshimoto Quiz Ou Ketteisen DX,JP,Yoshimoto Kogyo,SLPS-00158,4943656300024,12/15/95,
Bakusou Dekotora Densetsu 2: Otoko Jinsei Yume Ichiro,JP,Spike,SLPS-02465 - SLPS-02466,4940261501822,12/16/99,
Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,JP,Human Entertainment,SLPS-01441,4959143900301,06/25/98,
Bakusou Kyoudai Let's & Go!! Eternal Wings,JP,Jaleco Entertainment,SLPS-01489,4907859108146,07/30/98,
Bakuten Shoot Beyblade 2002: Beybattle Tournament 2,JP,Takara,SLPM-87130,4904880139316,08/01/02,
Baldies,US,Bethesda Softworks,SLUS-01567,093155123809,11/15/03,E
Baldur's Gate,US,Interplay,,,Canceled,
Ball Breakers,US,Take-Two Interactive,SLUS-01249,710425230707,07/26/00,E
Ballblazer Champions,US,LucasArts,SLUS-00068,023272450359,03/31/97,K-A
Ballerburg: Castle Chaos,US,Mud Duck Productions,SLUS-01568,093155123700,12/01/03,T
Ballistic,US,Infogrames,SLUS-00966,020295140250,10/31/99,E
Barb Wire (Cancelled),US,GT Interactive,,,Canceled,
Barbie Explorer,US,Havas Interactive,SLUS-01361,020626712811,09/04/01,E
Barbie Super Sports,US,Mattel,SLUS-00946,074299254918,12/30/99,E
Barbie: Gotta Have Games,US,VU Games,SLUS-01569,020626721257,11/07/03,E
Barbie: Race & Ride,US,Mattel,SLUS-00981,074299234699,1999,E
Bardysh: Kromeford no Juunin,JP,Imadio,SLPS-02187,4965857040295,07/22/99,
Baroque,JP,Sting,SLPM-86328,4933438001010,10/28/99,
Baroque Syndrome,JP,Sting,SLPM-86540,4933438001034,07/27/00,
Baseball Navigator,JP,Angel (Bandai),SLPS-00687,4994068800343,07/31/97,
Baseball Simulation: ID Pro Yakyuu,JP,Konami,SLPM-86650,4988602779578,01/25/01,
Bases Loaded '96: Double Header (Long Box),US,Jaleco Entertainment,SLUS-00086,032264500019,12/01/95,K-A
Bass Fisherman,JP,Sammy Studios,SLPS-01304,4991694000178,06/11/98,
Bass Hunter,US,Jack of All Games,,,Canceled,
Bass Landing,US,Agetec,SLUS-00873,093992086718,09/07/00,E
Bass Landing 2,JP,ASCII Entertainment,SLPS-02647,4988606103256,03/23/00,
Bass Rise,US,Bandai,SLUS-00905,045557088521,09/30/99,E
Bass Tsuri ni Ikou! Let's Go Bassfishing!,JP,Banpresto,SLPS-01914,4983164734416,04/22/99,
Bassing Beat 2,JP,Hearty Robin,SLPS-02859,4907953200081,08/10/00,
Bastard!! Utsuro Naru Kamigami no Utsuwa,JP,Seta Corporation,SLPS-00542,4963919440038,12/28/96,
Batman & Robin,US,Acclaim,SLUS-00393,021481211341,08/07/98,T
Batman Beyond: Return of the Joker,US,Ubisoft,SLUS-01207,008888310242,11/20/00,E
Batman Forever: The Arcade Game,US,Acclaim,SLUS-00387,021481210832,12/03/96,K-A
Batman: Gotham City Racer,US,Ubisoft,SLUS-01141,008888310150,04/19/01,E
Battle Arena Nitoushinden,JP,Takara,SLPS-00485,4904880134151,09/20/96,
Battle Arena Toshinden (Long Box),US,SCEA,SCUS-94200,711719420026,August 1995,T
Battle Arena Toshinden 2,US,Playmates,SLUS-00220,,May 1996,T
Battle Arena Toshinden 2 Plus (PlayStation the Best),JP,Takara,SLPS-91006,4904880134137,08/09/96,
Battle Arena Toshinden 3,US,Playmates,SLUS-00483,796298065950,03/31/97,T
Battle Athletess: Daiundoukai Alternative,JP,Increment-P,SLPS-01133,4995194000447,01/15/98,
Battle Athletess: Daiundoukai GTO,JP,Increment-P,SLPS-01548,4995194000515,01/14/99,
Battle Bugs,JP,Manning,SLPS-00991,4530777000041,09/18/97,
Battle Formation,JP,Banpresto,SLPS-00968,4983164734232,11/13/97,
Battle Hunter,US,Agetec,SLUS-01335,093992071905,06/01/01,E
Battle Konchuuden,JP,Jaleco Entertainment,SLPS-01779,4907859108184,01/21/99,
Battle Master,JP,Taki,SLPS-01064,4535838000015,01/08/98,
Battle Qix (SuperLite 1500 Series),JP,Success,SLPM-87165,4944076002628,10/24/02,
Battle Stations,US,Electronic Arts,SLUS-00456,014633076394,03/31/97,K-A
BattleSport,US,Acclaim,SLUS-00389,,06/30/97,K-A
BattleTanx: Global Assault,US,3DO,SLUS-01044,790561504559,02/29/00,T
Battleship,US,Hasbro Interactive,,,Canceled,E
Battleship Yamato,JP,Rockwell International,,,Canceled,
Bealphareth,JP,SCEI,SCPS-10138,4948872101387,09/28/00,
Beast Wars: Transformers,US,Hasbro Interactive,SLUS-00508,608610990621,12/05/97,K-A
Beat Planet Music,JP,SCEI,SCPS-18013,4948872180139,01/20/00,
BeatMania,JP,Konami,SLPM-86126~7,4988602502640,10/01/98,
